행정구,행정동,갈비/삼겹살,닭/오리요리,분식,양식,유흥주점,일식/수산물,제과제빵떡케익,커피점/카페,패스트푸드,한식/백반/한정식,총생활인구수_평일,10대 미만 생활인구_평일,10대 생활인구_평일,20~30대 생활인구_평일,40~50대 생활인구_평일,60대 생활인구_평일,70대 이상 생활인구_평일,총생활인구수_주말,10대 미만 생활인구_주말,10대 생활인구_주말,20~30대 생활인구_주말,40~50대 생활인구_주말,60대 생활인구_주말,70대 이상 생활인구_주말,대학교(전체),일반대학,온라인대학,초중고(전체),초등학교,중학교,고등학교,총인구수,총가구수,가구당인구수,평균소득금액,상권변화지표,운영점포영업개월,폐업점포영업개월,10대 미만,10대,20 ~ 30대,40 ~ 50대,60대,70대 이상,총인구,역(전체),역(환승역)
도봉구,도봉2동,3,9,13,2,18,11,9,25,10,39,446180.133,36487.2016,33555.85241,102880.8087,136217.9013,64677.71018,72360.65683,450966.6535,37005.34698,33694.59684,104297.4612,137177.0301,66188.95879,72603.26163,0,0,0,3,1,1,1,26853,10989,2.44,3597.97,LL,117.0,52.0,1447,1513,6322,7859,4862,4406,26409,3,2
도봉구,쌍문1동,7,13,13,10,9,8,7,30,5,32,420214.598,29253.25073,50014.28336,114255.0537,113996.4231,52466.94689,60228.63843,416980.7764,25586.25161,43217.8785,107612.6424,124659.7007,54163.57723,61740.72645,1,1,0,4,3,1,0,21779,8750,2.49,3714.43,LL,116.0,53.0,1005,1553,5470,6701,3445,3152,21326,0,0
도봉구,쌍문2동,8,17,25,10,10,15,10,38,19,44,409146.8814,31714.8831,39399.67232,101980.3837,122773.6855,54922.46623,58355.78873,416503.8619,28771.27689,37747.65446,110016.417,126965.5946,55974.71733,57028.20286,0,0,0,2,1,1,0,18801,8016,2.35,3714.43,LL,113.0,52.0,882,1274,4822,5859,3167,2572,18576,0,0
도봉구,쌍문3동,5,12,22,5,12,16,7,24,11,22,400321.3333,30220.43996,34206.45759,109767.8326,118195.4345,50769.85772,57161.3113,400366.1193,25502.85415,30665.12165,115882.4482,121390.0437,50588.00228,56337.64836,0,0,0,1,0,1,0,16483,7466,2.21,3714.43,LL,112.0,53.0,773,1000,4996,5250,2597,2413,17029,0,0
도봉구,쌍문4동,1,4,11,4,1,3,2,12,2,11,300925.0657,25736.50781,45445.26067,62551.2653,87538.80347,40874.12374,38779.10429,312581.5333,22751.00746,36485.13346,72140.71263,96826.4067,44287.58771,40090.68683,0,0,0,8,2,2,4,18486,6783,2.73,3714.43,LL,105.0,53.0,1044,1865,4532,6044,2954,1959,18398,0,0
도봉구,방학1동,15,27,46,14,50,30,18,51,23,86,534594.2593,35053.90176,43470.69726,132039.6146,173493.7328,74668.1076,75868.20497,557319.8052,38604.41616,46443.33704,140105.4827,180780.1236,75412.48189,75973.96284,0,0,0,3,1,1,1,28070,11687,2.4,3824.87,LL,111.0,50.0,1350,2105,7088,9276,4810,3944,28573,1,0
도봉구,방학2동,7,15,19,5,11,10,11,23,10,33,272370.8854,17215.5337,21583.86993,57735.23844,82959.17852,40046.02228,52831.04404,293991.1045,16727.44984,23952.43104,66147.45175,90611.03503,41832.56094,54720.1776,0,0,0,2,1,1,0,19599,8579,2.28,3824.87,LL,110.0,51.0,765,1366,4542,6299,3459,2987,19418,0,0
도봉구,방학3동,2,9,11,4,8,2,8,16,4,15,498165.1107,46676.48078,55435.71554,98604.24628,146900.6598,73680.5922,76867.41665,532476.9861,40895.29861,54662.35621,113530.9498,165452.0256,77903.36244,80032.99704,0,0,0,4,3,1,0,27168,9559,2.84,3824.87,LH,116.0,56.0,1654,2588,6016,8484,4623,3270,26635,0,0
노원구,월계1동,15,18,31,5,21,24,12,40,27,58,554985.3544,37475.97859,59507.19913,195637.2058,141719.9289,58762.5694,61882.47079,536162.3606,36107.21715,52011.61726,178337.2552,150044.0134,56996.04806,62666.21164,1,1,0,3,1,1,1,23195,9889,2.35,3981.4,LH,119.0,56.0,1036,1630,6693,6448,3069,2806,21682,0,0
노원구,월계2동,5,12,13,0,2,4,6,14,9,13,480085.6027,39195.59044,59350.26415,112155.7681,135465.3885,58787.78794,75130.80371,468331.0125,33150.98515,41310.19053,110981.4581,146446.1884,59990.35559,76451.83573,1,1,0,9,2,3,4,26816,11425,2.35,3981.4,LH,109.0,57.0,1476,1949,5965,8357,4493,3884,26124,1,0
노원구,월계3동,1,10,14,4,6,6,12,19,19,16,559525.0007,57604.98671,46527.79931,137164.8706,167725.2008,70483.56102,80018.58108,608948.0928,57337.73054,48971.45864,156064.6432,188647.9975,74814.39294,83111.8711,0,0,0,4,3,1,0,29641,12309,2.41,3981.4,LL,111.0,55.0,1965,1979,7763,9046,4656,4094,29503,3,2
노원구,"공릉1,3동",18,35,43,20,50,29,29,80,20,116,988908.0358,67287.43532,82946.14773,310852.1254,288195.4795,119391.2976,120235.5504,1026839.632,69485.70079,88020.19819,330349.0372,298405.2649,120561.7029,120017.7289,0,0,0,3,3,0,0,37620,17539,2.14,4722.2,LL,117.0,55.0,1755,2611,12249,10813,5592,4266,37286,3,2
노원구,공릉2동,11,16,44,14,24,14,22,68,29,63,1162068.076,87489.30696,172171.5704,412560.4729,291173.7498,99559.18227,99113.79275,1052863.814,75625.96354,136331.3825,344963.5712,297311.7778,99283.31226,99347.80598,4,4,0,9,4,3,2,40575,15758,2.57,4722.2,LL,103.0,53.0,3158,4413,13173,13065,5078,3641,42528,1,0
노원구,하계1동,2,11,15,4,10,12,3,29,7,40,606162.6228,27610.17863,99267.91416,150182.184,182836.3305,72247.47116,74018.54416,576133.8126,23630.45794,77389.5266,145120.5967,187128.4093,71316.71761,71548.10609,0,0,0,6,1,2,3,27682,10679,2.59,4133.37,HH,123.0,57.0,1004,3171,7662,8595,3748,3075,27255,0,0
노원구,하계2동,2,2,6,1,1,2,3,4,4,4,415961.1084,28247.81891,51584.17989,100033.6849,135758.0251,50325.7988,50011.6009,443115.2259,28609.79983,54841.84429,111591.7015,148702.2326,51323.87266,48045.77758,0,0,0,3,2,1,0,21990,7939,2.77,4133.37,HH,127.0,62.0,1324,2581,5245,7535,2774,2244,21703,1,0
노원구,중계본동,5,14,23,6,17,8,13,39,8,36,477019.9853,38363.47059,122739.6779,79299.3548,162714.3642,37421.68464,36481.43044,516154.8276,39996.65405,129209.5136,87890.19019,184452.1664,38500.99951,36105.30211,0,0,0,5,2,0,3,24008,7884,3.05,3321.14,LL,103.0,51.0,1268,4365,4698,9183,2393,1688,23595,0,0
